id,pytanie,ilustracja,odpa,odpb,odpc,odp,uzasadnienie,model
1,Który z poniższych materiałów jest dobrym izolatorem elektrycznym?,,szkło,grafit,krzem,a,"<p>Z tych trzech materiałów, szkło jest uznawane za bardzo dobry izolator elektryczny. Grafit jest przewodnikiem elektrycznym, a krzem ma charakterystykę półprzewodnikową, która zależy od domieszek i może zmieniać się w zależności od warunków, czyniąc go mniej odpowiednim do roli izolatora w ogólnych przypadkach.</p><br /><p>Odpowiedź to:<br />a. szkło</p><br /><p>Wybrałem tę odpowiedź, ponieważ szkło jest znane z bardzo niskiej przewodności elektrycznej i jest szeroko stosowane jako materiał izolacyjny w wielu zastosowaniach elektrycznych i elektronicznych.</p><br />",
2,"Obwód elektryczny składa się z kilku rezystorów o różnych wartościach i źródła zasilania. Połączenie, w którym przez wszystkie elementy płynie ten sam prąd nazywamy połączeniem:",,rezonansowym,szeregowym,równoległym,b,"<p>Połączenie, w którym przez wszystkie elementy płynie ten sam prąd nazywamy połączeniem:<br />b. szeregowym</p><br /><p>W połączeniu szeregowym prąd płynący przez każdy z elementów obwodu jest taki sam. To charakterystyczna cecha tego rodzaju połączenia, w przeciwieństwie do połączenia równoległego, w którym napięcie na każdym z elementów jest takie samo, ale prąd może się różnić w zależności od wartości poszczególnych rezystorów. Połączenie rezonansowe natomiast dotyczy określonych warunków, w których w obwodzie rezonansowym (zawierających elementy indukcyjne i pojemnościowe) dochodzi do zjawiska rezonansu – nie jest to jednak odpowiedź związana z cechą, iż przez wszystkie elementy płynie ten sam prąd.</p><br />",
3,Przez kondensator o impedancji 10 Ω płynie prąd przemienny o częstotliwości 50Hz i wartości 2A. Jaki będzie spadek napięcia na kondensatorze?,,10 V,50 V,20 V,c,"<p>Aby obliczyć spadek napięcia na kondensatorze, możemy skorzystać z poniższego wzoru:</p> <p>\[ V = I \times Z \]</p> <p>gdzie:</p> <ul> <li>\( V \) to spadek napięcia,</li> <li>\( I \) to natężenie prądu (2A),</li> <li>\( Z \) to impedancja (10Ω).</li> </ul> <p>Podstawiając podane wartości do wzoru, obliczmy spadek napięcia:</p> <p>\[ V = 2A \times 10Ω \]</p> <pre><code class=""language-python"">I = 2  # Wartość prądu w amperach<br />Z = 10  # Impedancja w omach<br /><br />V = I * Z  # Obliczenie spadku napięcia<br />V </code></pre> <pre><code class=""language-python"">20 </code></pre> <p>Spadek napięcia na kondensatorze wynosi 20 V, więc poprawna odpowiedź to:</p> <p>c. 20 V</p>",
4,"Przez trzy równoległe rezystory 1 Ω, 2 Ω i 4 Ω płyną prądy odpowiednio 4 A, 2 A i 1A. Całkowite natężenie prądu płynącego w obwodzie to: ",,4 A,1 A,7 A,c,"<p>Aby znaleźć całkowite natężenie prądu płynącego w obwodzie zawierającym trzy równoległe rezystory, należy po prostu zsumować prądy płynące przez każdy z rezystorów. W tym przypadku mamy trzy prądy: 4 A, 2 A i 1 A. Sumując te prądy, otrzymujemy całkowite natężenie prądu w obwodzie: \[I_{\text{całkowite}} = I_1 + I_2 + I_3 = 4\,A + 2\,A + 1\,A\]</p> <p>Sumuję wartości, aby uzyskać wynik.</p> <pre><code class=""language-python"">I1 = 4  # Prąd płynący przez rezystor 1Ω<br />I2 = 2  # Prąd płynący przez rezystor 2Ω<br />I3 = 1  # Prąd płynący przez rezystor 4Ω<br /><br />I_total = I1 + I2 + I3<br />I_total </code></pre> <pre><code class=""language-python"">7 </code></pre> <p>Całkowite natężenie prądu płynącego w obwodzie wynosi 7 A, co oznacza, że poprawna odpowiedź to:</p> <p>c. 7 A</p>",
5,"O ile spadnie napięcie 12 V akumulatora o rezystancji wewnętrznej 0,1 Ω przy poborze 10 A prądu?",,1 V,10 V,"0,1 V",a,"<p>Aby obliczyć, o ile spadnie napięcie 12 V akumulatora przy poborze 10 A prądu i rezystancji wewnętrznej 0,1 Ω, możemy skorzystać z prawa Ohma. Spadek napięcia na rezystorze (lub tutaj rezystancji wewnętrznej akumulatora) jest równy iloczynowi prądu płynącego przez rezystor i jego rezystancji.</p> <p>\[ \Delta V = I \cdot R \]</p> <p>gdzie:</p> <ul> <li>\(\Delta V\) to spadek napięcia,</li> <li>\(I\) to prąd w amperach (A),</li> <li>\(R\) to rezystancja w omach (Ω).</li> </ul> <p>Podstawmy dane:</p> <ul> <li>\(I = 10 A\)</li> <li>\(R = 0,1 Ω\)</li> </ul> <p>\[ \Delta V = 10 A \cdot 0,1 Ω \]</p> <p>Obliczmy to.</p> <pre><code class=""language-python"">I = 10  # prąd w amperach<br />R = 0.1  # rezystancja w omach<br /><br />Delta_V = I * R<br />Delta_V </code></pre> <pre><code class=""language-python"">1.0 </code></pre> <p>Spadek napięcia na rezystancji wewnętrznej akumulatora wynosi \(1 V\). Odpowiedź to:</p> <p>a. 1 V</p>",
6,Łącząc równolegle źródła napięcia powinno się:,,łączyć źródła o tej samej wydajności prądowej,łączyć źródła tylko tego samego typu,zadbać by ich napięcia były jednakowe,c,"<p>Łącząc równolegle źródła napięcia, najważniejsze jest, aby ich napięcia były jednakowe. Różnice w napięciach mogą spowodować przepływ prądu między źródłami, co może prowadzić do uszkodzenia źródeł lub niepożądanych sytuacji w układzie. Różne wydajności prądowe czy typy źródeł są mniej istotne niż zgodność napięć, ponieważ układ przy połączeniu równoległym będzie próbował wyrównać potencjały. Dlatego prawidłowa odpowiedź to: c. zadbać by ich napięcia były jednakowe</p>",
7,Jak nazywa się zdolność do gromadzenia energii w polu elektrycznym?,,opór,pojemność,kapacytancja,c,"<p>Zdolność do gromadzenia energii w polu elektrycznym nazywana jest <strong>c. kapacytancja</strong>.</p> <p>Kapacytancja, inaczej pojemność elektryczna, określa zdolność ciała lub układu do magazynowania ładunku elektrycznego, gdy występuje na nim różnica potencjałów. Wynika to z właściwości pola elektrycznego i charakteryzuje, ile ładunku elektrycznego może zostać zgromadzone w danych warunkach. To pojęcie jest kluczowe przy analizie kondensatorów i innych komponentów elektrycznych i elektronicznych, których zadaniem jest właśnie gromadzenie energii w polu elektrycznym. Odpowiedź &quot;opór&quot; dotyczy oporu elektrycznego, a więc zdolności materiału do przeciwstawiania się przepływowi prądu elektrycznego, a nie bezpośrednio gromadzenia energii w polu elektrycznym.</p>",
8,Współczynnikiem skrócenia nazywamy:,,stosunek prędkości rozchodzenia się fali elektromagnetycznej w przewodzie do prędkości światła w próżni,stosunek prędkości rozchodzenia się fali elektromagnetycznej w przewodzie do prędkości dźwięku w powietrzu,"parametr wtyczki, określający o ile zostanie skrócony kabel po jej montażu",,"<p>Współczynnikiem skrócenia nazywamy <strong>a. stosunek prędkości rozchodzenia się fali elektromagnetycznej w przewodzie do prędkości światła w próżni</strong>.</p> <p>Współczynnik skrócenia jest stosowany do określenia, jak długość fali lub częstotliwość sygnału elektromagnetycznego zmienia się, gdy fala rozchodzi się przez ośrodek inny niż próżnia. W kontekście przewodów i kabli, współczynnik ten określa, jak faktyczna długość fizyczna przewodnika (np. anteny) musi zostać dostosowana w porównaniu do teoretycznej długości obliczonej przy założeniu rozchodzenia się fali w próżni, aby osiągnąć odpowiednią rezonansową częstotliwość pracy. Inne odpowiedzi nie odnoszą się bezpośrednio do znaczenia współczynnika skrócenia w kontekście fal elektromagnetycznych i ich propagacji.</p>",
9,"Jak nazywa się prąd, który zmienia swój kierunek w regularnych odstępach czasu?",,prąd stały,prąd przemienny,prąd siatki,b,"<p>Odpowiedź na pytanie to: b. prąd przemienny.</p> <p>Prąd przemienny (AC - Alternating Current) to prąd elektryczny, który zmienia swój kierunek oraz wielkość w regularnych odstępach czasu, w przeciwieństwie do prądu stałego (DC - Direct Current), który płynie w jednym kierunku. Prąd siatki nie jest standardowym terminem używanym do opisu tego typu prądu.</p>",
10,We wzmacniaczu tranzystorowym w układzie wspólnego kolektora obciążenie jest dołączane między:,,kolektor a zasilanie,bazę a kolektor,emiter a masę,,"<p>W wzmacniaczu tranzystorowym w układzie wspólnego kolektora, obciążenie jest dołączane między emiter a masę.</p> <p>Odpowiedź: c. emiter a masę.</p> <p>W układzie wspólnego kolektora, kolektor jest punktem wspólnym dla sygnału wejściowego i wyjściowego, a obciążenie jest podłączane pomiędzy emiter a masę. Układ ten jest znany z zapewniania dużej impedancji wejściowej oraz niskiej impedancji wyjściowej, ale nie wzmacnia napięcia. Z tego powodu jest często stosowany w aplikacjach buforujących sygnały.</p>",
11,Od czego zależna jest rezystancja przewodu?,,"jego materiału, długości, przekroju i temperatury.","jego materiału, długości, przekroju i użytej izolacji.","jego materiału, długości, przekroju i napięcia pracy.",a,"<p>Rezystancja przewodu jest zależna od:</p> <ul> <li><strong>materiału</strong>, z którego jest wykonany przewód, ponieważ różne materiały mają różne właściwości oporowe,</li> <li><strong>długości</strong>, ponieważ im dłuższy przewód, tym większy jego opór,</li> <li><strong>przekroju</strong>, ponieważ im większy przekrój przewodu, tym mniejszy jego opór,</li> <li><strong>temperatury</strong>, ponieważ zazwyczaj opór materiałów zmienia się wraz z temperaturą.</li> </ul> <p>Tym samym, poprawna odpowiedź to: a. jego materiału, długości, przekroju i temperatury.</p>",
12,Który przewód o tej samej długości i przekroju będzie miał największą rezystancję?,,wykonany z aluminium,wykonany z żelaza,wykonany z miedzi,b,"<p>Odpowiedź na to pytanie zależy od właściwości fizycznych materiałów, takich jak ich rezystywność. Rezystywność materiału jest właściwością, która określa, jak bardzo materiał przeciwstawia się przepływowi prądu elektrycznego; im większa rezystywność, tym większa rezystancja przewodu o danych wymiarach wykonanego z tego materiału.</p> <p>Rezystywność różnych materiałów jest dobrze znana i można ją znaleźć w tabelach właściwości materiałów. Dla przewodów o tej samej długości i przekroju, przewód wykonany z materiału o największej rezystywności będzie miał największą rezystancję.</p> <p>Na podstawie powszechnie przyjętych wartości rezystywności dla tych materiałów:</p> <ul> <li>Miedź ma stosunkowo niską rezystywność, co sprawia, że jest bardzo dobrym przewodnikiem elektryczności.</li> <li>Aluminium jest również dobrym przewodnikiem elektryczności, ale jego rezystywność jest wyższa niż miedzi.</li> <li>Żelazo ma wyższą rezystywność niż oba te materiały, co czyni go mniej przewodzącym.</li> </ul> <p>Z tego wynika, że przewód wykonany z żelaza będzie miał największą rezystancję spośród wymienionych materiałów, pod warunkiem że wszystkie przewody mają tę samą długość i przekrój. Dlatego poprawna odpowiedź to: b. wykonany z żelaza</p>",
13,W obwodzie prądu stałego przez rezystor 1 kΩ płynie prąd 2 mA. Jaki jest spadek napięcia na rezystorze?,,200 V,2000 V,2 V,c,"<p>Aby znaleźć spadek napięcia na rezystorze, możemy posłużyć się prawem Ohma, które jest dane wzorem:</p> <p>\[ V = I \cdot R \]</p> <p>gdzie:</p> <ul> <li>\( V \) jest spadkiem napięcia,</li> <li>\( I \) jest natężeniem prądu,</li> <li>\( R \) jest rezystancją.</li> </ul> <p>W tym przypadku podane mamy: \( I = 2 \, \text{mA} = 2 \times 10^{-3} \, \text{A} \), \( R = 1 \, \text{k}\Omega = 1 \times 10^{3} \, \Omega \).</p> <p>Podstawiając podane wartości do wzoru, obliczymy spadek napięcia na rezystorze.</p> <pre><code class=""language-python"">I = 2 * 10**-3  # Natężenie prądu w amperach<br />R = 1 * 10**3  # Rezystancja w omach<br /><br />V = I * R  # Spadek napięcia<br />V </code></pre> <pre><code class=""language-python"">2.0 </code></pre> <p>Spadek napięcia na rezystorze wynosi 2 V. Odpowiedź to: c. 2 V.</p>",
14,"Do zasilacza o napięciu 12 V chcemy podłączyć diodę świecącą o napięciu przewodzenia 3 V i nominalnym prądzie 20 mA. Jaki rezystor należy włączyć w szereg, by ograniczyć prąd do nominalnej wartości?",,600 Ω,150 Ω,450 Ω,,"<p>Aby ograniczyć prąd do nominalnej wartości dla diody świecącej przy zasilaniu napięciem 12V, kiedy dioda ma napięcie przewodzenia 3V i nominalny prąd 20 mA, możemy skorzystać z prawa Ohma. Najpierw obliczamy różnicę napięć, którą rezystor musi przejąć, następnie obliczamy wartość wymaganego rezystora. Różnica napięć to 12V (napięcie zasilacza) - 3V (napięcie przewodzenia diody) = 9V. Aby uzyskać prąd 20 mA (czyli 0.020 A) przez rezystor potrzebujemy użyć wzoru R = V / I, gdzie V to napięcie na rezystorze, a I to prąd płynący przez układ.</p> <p>\[ R = \frac{V}{I} = \frac{9V}{0.020A} \]</p> <p>Obliczmy teraz wartość rezystora.</p> <pre><code class=""language-python""># Dane do obliczeń<br />V = 9 # różnica napięć w woltach<br />I = 0.020 # prąd w amperach<br /><br /># Obliczenie wartości rezystora<br />R = V / I<br />R </code></pre> <pre><code class=""language-python"">450.0 </code></pre> <p>Wartość rezystora, który należy włączyć w szereg, by ograniczyć prąd do nominalnej wartości dla danej diody świecącej, wynosi 450 Ω.</p> <p>Odpowiedź: c. 450 Ω.</p>",
15,Która z cech łączy szeregowy obwód rezonansowy LC z typową anteną (dipol półfalowy):,,w rezonansie stanowią tylko rezystancję,w rezonansie stanowią reaktancję pojemnościową,w rezonansie stanowią reaktancję indukcyjną,,"<p>Odnosząc się do podstawowych własności obwodów rezonansowych LC oraz typowych anten, takich jak dipol półfalowy, odpowiedź na to pytanie może zostać przedstawiona jak poniżej:</p> <p>a. W rezonansie obwód rezonansowy LC oraz dipol półfalowy zachowują się jak czysta rezystancja. Rezonans oznacza, że reaktancje pojemnościowe i indukcyjne się wzajemnie równoważą, przez co sumaryczna reaktancja obwodu wynosi zero. Pozostaje tylko rezystancja, która w przypadku anteny jest składnikiem promieniowanym (rezystancja promieniowania) oraz strat (rezystancja strat). W przypadku obwodu LC pozostaje rezystancja strat.</p> <p>b i c. Nie są prawdziwe, ponieważ w stanie rezonansu reaktancje pojemnościowe i indukcyjne równoważą się, dając efekt wynoszący zero, a nie dominującą reaktancję pojemnościową lub indukcyjną.</p> <p>Stąd, odpowiedź to: a. w rezonansie stanowią tylko rezystancję</p> <p>Dotyczy to zarówno szeregowego obwodu rezonansowego LC, który w rezonansie przedstawia się jako czysta rezystancja (co wynika ze wzajemnego równoważenia się reaktancji indukcyjnej i pojemnościowej), jak i typowej anteny, na przykład dipola półfalowego, który w rezonansie również może być uważany za czystą rezystancję (rezystancję promieniowania i ewentualne straty).</p>",
16,"Wartość skuteczna napięcia sieciowego wynosi 230 V, ile wynosi jego amplituda?",,230 V,325 V,220 V,b,"<p>Wartość skuteczna napięcia sieciowego, zwana też wartością RMS (Root Mean Square), dla przebiegu sinusoidalnego, jest zdefiniowana jako wartość, która w danym czasie przekazuje tę samą moc co wartość stała (DC) na tych samych obciążeniach. Wartość skuteczna jest związana z amplitudą napięcia sinusoidalnego poprzez wzór:</p> <p>\[ V_{rms} = \frac{V_{max}}{\sqrt{2}} \]</p> <p>gdzie: \(V_{rms}\) to wartość skuteczna napięcia, \(V_{max}\) to wartość maksymalna (amplituda) napięcia.</p> <p>Podany w pytaniu napięcie sieciowe o wartości 230 V jest wartością skuteczną, więc aby znaleźć amplitudę (\(V_{max}\)), musimy przekształcić powyższy wzór:</p> <p>\[ V_{max} = V_{rms} \times \sqrt{2} \]</p> <p>Podstawiając wartość 230 V dla \(V_{rms}\), obliczamy \(V_{max}\).</p> <pre><code class=""language-python"">import math<br /><br />V_rms = 230<br />V_max = V_rms * math.sqrt(2)<br />V_max </code></pre> <pre><code class=""language-python"">325.2691193458119 </code></pre> <p>Amplituda napięcia sieciowego wynosi około 325 V. Odpowiedź b. 325 V jest poprawna.</p>",
17,Jaka jest zależność fazowa między przepływającym prądem a napięciem w szeregowym obwodzie rezonansowym w rezonansie?,,napięcie wyprzedza prąd o 90 stopni,prąd wyprzedza napięcie o 90 stopni,napięcie i prąd są zgodne w fazie,c,"<p>W szeregowym obwodzie rezonansowym w momencie rezonansu impedancja czysto rezystancyjna jest równa sumie impedancji cewki (reaktancji indukcyjnej) i kondensatora (reaktancji pojemnościowej), które są przeciwne w fazie i się anulują. To oznacza, że w punkcie rezonansu opór czysto reaktywny obwodu wynosi zero, a to przekłada się na to, że napięcie i prąd są w fazie.</p> <p>Więc prawidłowa odpowiedź to: c. napięcie i prąd są zgodne w fazie</p>",
18,"Działanie funkcji ""Noise Blanker"" polega na: ",,zwiększeniu pasma odbiornika,"zmniejszeniu wzmocnienia odbiornika podczas okresowych impulsów zakłóceń ",przekierowaniu zakłóceń do kondensatora filtrującego,,"<p>Odpowiedź na to pytanie to: b. zmniejszeniu wzmocnienia odbiornika podczas okresowych impulsów zakłóceń.</p> <p>Funkcja &quot;Noise Blanker&quot; (NB) jest używana w radiokomunikacji do zmniejszenia wpływu okresowych, impulsowych zakłóceń na odbiór sygnału. Impulsy zakłócające, takie jak te pochodzące od maszyn elektrycznych, mogą znacząco wpływać na jakość odbieranego sygnału. Funkcja NB &quot;wycisza&quot; odbiornik na bardzo krótki czas podczas detekcji impulsu zakłócającego, tym samym zmniejszając jego wpływ na odbierany sygnał, co jest zgodne z opisem w opcji &quot;b&quot;. Opcje &quot;a&quot; i &quot;c&quot; opisują inne mechanizmy działania, które nie są charakterystyczne dla funkcji &quot;Noise Blanker&quot;.</p>",
19,"Modulacja CW nazywana jest modulacją wąskopasmową, czy zatem jest możliwe dowolne zawężanie filtra wejściowego odbiornika celem odcięcia bocznych sygnałów niepożądanych?",,można zawężać dowolnie,"nie można, poniżej pewnej wartości szerokości filtra sygnał staje się nieczytelny",można zawężać ale tylko o parzyste liczby herców,b,"<p>Odpowiedź na to pytanie to b. nie można, poniżej pewnej wartości szerokości filtra sygnał staje się nieczytelny.</p> <p>Wyjaśnienie: W przypadku modulacji CW (Continuous Wave), sygnał jest bardzo wąskopasmowy, ponieważ zawiera jedynie informacje o obecności lub braku tonu. Niemniej jednak, całkowite zawężanie filtra wejściowego odbiornika może spowodować, że sygnał stanie się nieczytelny z kilku powodów. Jednym z nich jest efekt rozpraszania sygnału w paśmie (tzw. smearing), który może pojawić się na skutek charakterystyk czasowych sygnału, takich jak szybkość włączania i wyłączania tonu (key clicks) w telegrafii. Również zawęzenie filtru poniżej pewnej wartości może spowodować, że część sygnału, niezbędna do jego poprawnej demodulacji, zostanie odcięta. Ponadto, praktycznie każdy sygnał, nawet w modulacji CW, posiada pewną minimalną szerokość pasma, zależną od szybkości nadawania oraz charakterystyki sprzętu. Opcje a) i c) nie uwzględniają tych ograniczeń fizycznych i praktycznych związanych z odbiorem sygnałów CW.</p>",
20,W temperaturze pokojowej moc szumów termicznych w kanale o szerokości 1 Hz wynosi -174 dBm. Ile wynosi moc szumów w kanale o szerokości 10 kHz:,,-134 dBm,-214 dBm,-170 dBm,a,"<p>Moc szumów termicznych w systemach komunikacyjnych może być obliczona przy użyciu wzoru:</p> <p>\[ \text{N} = -174 \text{ dBm/Hz} + 10 \log_{10}(B) \]</p> <p>gdzie:</p> <ul> <li>N to moc szumów (w dBm),</li> <li>B to szerokość pasma w Hz.</li> </ul> <p>W zadaniu podana jest szerokość pasma równa 10 kHz, co równa się 10000 Hz.</p> <p>Podstawiając do wzoru: \[ \text{N} = -174 \text{ dBm/Hz} + 10 \log_{10}(10000) \]</p> <p>Obliczmy:</p> <pre><code class=""language-python"">import math<br /><br /># Parametry<br />szerokosc_pasma_Hz = 10000  # szerokość pasma w Hz<br /><br /># Obliczenie mocy szumów<br />moc_szumow = -174 + 10 * math.log10(szerokosc_pasma_Hz)<br />moc_szumow </code></pre> <pre><code class=""language-python"">-134.0 </code></pre> <p>Moc szumów w kanale o szerokości 10 kHz wynosi -134 dBm.</p> <p>Odpowiedź: a. -134 dBm</p>",
